Attributes,high,low,open,close,adjust,volume
Symbols,FPT,FPT,FPT,FPT,FPT,FPT
date,,,,,,
2021-04-01,79.7,77.9,77.9,79.7,79.7,3150900
2021-04-02,80.5,79.8,80.4,79.8,79.8,1991200
2021-04-05,80.5,78.9,80.4,79.6,79.6,2757500
2021-04-06,80.0,79.1,79.1,79.4,79.4,1632800
2021-04-07,79.7,79.1,79.2,79.6,79.6,2055600
2021-04-08,80.6,79.5,80.2,79.6,79.6,2129800
2021-04-09,83.0,79.9,79.9,82.1,82.1,4984795
2021-04-12,82.4,81.5,82.4,82.1,82.1,2119500
2021-04-13,82.2,80.5,82.0,80.7,80.7,3439300
2021-04-14,81.0,79.5,80.0,81.0,81.0,2530600
2021-04-15,81.4,79.8,81.0,80.0,80.0,3080200
2021-04-16,81.2,78.8,79.8,79.7,79.7,2595600
2021-04-19,81.5,79.5,80.0,81.5,81.5,3550700
2021-04-20,84.9,81.6,81.8,82.9,82.9,5067760
2021-04-22,83.9,80.0,82.0,80.0,80.0,2424200
2021-04-23,83.0,79.7,80.0,83.0,83.0,3206400
